No,Fields Name,Path,Type,Deskripsi,Status
127,PasswordStatus,ISAPI,XML Field,,FALSE
128,id,ISAPI,XML Field,,FALSE
129,proxyProtocol,ISAPI,XML Field,,FALSE
130,addressingFormatType,ISAPI,XML Field,,FALSE
131,ipAddress,ISAPI,XML Field,,FALSE
132,managePortNo,ISAPI,XML Field,,FALSE
133,srcInputPort,ISAPI,XML Field,,FALSE
134,userName,ISAPI,XML Field,,FALSE
135,streamType,ISAPI,XML Field,,FALSE
136,online,ISAPI,XML Field,,FALSE
137,streamingProxyChannelId,ISAPI,XML Field,,FALSE
138,streamingProxyChannelId,ISAPI,XML Field,,FALSE
139,inputProxyPortIdList,ISAPI,XML Field,,FALSE
140,outputProxyPortIdList,ISAPI,XML Field,,FALSE
141,chanDetectResult,ISAPI,XML Field,,FALSE
142,PasswordStatus,ISAPI,XML Field,,FALSE
143,id,ISAPI,XML Field,,FALSE
144,proxyProtocol,ISAPI,XML Field,,FALSE
145,addressingFormatType,ISAPI,XML Field,,FALSE
146,ipAddress,ISAPI,XML Field,,FALSE
147,managePortNo,ISAPI,XML Field,,FALSE
148,srcInputPort,ISAPI,XML Field,,FALSE
149,userName,ISAPI,XML Field,,FALSE
150,streamType,ISAPI,XML Field,,FALSE
151,online,ISAPI,XML Field,,FALSE
152,streamingProxyChannelId,ISAPI,XML Field,,FALSE
153,streamingProxyChannelId,ISAPI,XML Field,,FALSE
154,inputProxyPortIdList,ISAPI,XML Field,,FALSE
155,outputProxyPortIdList,ISAPI,XML Field,,FALSE
156,chanDetectResult,ISAPI,XML Field,,FALSE
157,PasswordStatus,ISAPI,XML Field,,FALSE
158,id,ISAPI,XML Field,,FALSE
159,proxyProtocol,ISAPI,XML Field,,FALSE
160,addressingFormatType,ISAPI,XML Field,,FALSE
161,ipAddress,ISAPI,XML Field,,FALSE
162,managePortNo,ISAPI,XML Field,,FALSE
163,srcInputPort,ISAPI,XML Field,,FALSE
164,userName,ISAPI,XML Field,,FALSE
165,streamType,ISAPI,XML Field,,FALSE
166,online,ISAPI,XML Field,,FALSE
167,streamingProxyChannelId,ISAPI,XML Field,,FALSE
168,streamingProxyChannelId,ISAPI,XML Field,,FALSE
169,inputProxyPortIdList,ISAPI,XML Field,,FALSE
170,outputProxyPortIdList,ISAPI,XML Field,,FALSE
171,chanDetectResult,ISAPI,XML Field,,FALSE
172,PasswordStatus,ISAPI,XML Field,,FALSE
173,id,ISAPI,XML Field,,FALSE
174,proxyProtocol,ISAPI,XML Field,,FALSE
175,addressingFormatType,ISAPI,XML Field,,FALSE
176,ipAddress,ISAPI,XML Field,,FALSE
177,managePortNo,ISAPI,XML Field,,FALSE
178,srcInputPort,ISAPI,XML Field,,FALSE
179,userName,ISAPI,XML Field,,FALSE
180,streamType,ISAPI,XML Field,,FALSE
181,online,ISAPI,XML Field,,FALSE
182,streamingProxyChannelId,ISAPI,XML Field,,FALSE
183,streamingProxyChannelId,ISAPI,XML Field,,FALSE
184,inputProxyPortIdList,ISAPI,XML Field,,FALSE
185,outputProxyPortIdList,ISAPI,XML Field,,FALSE
186,chanDetectResult,ISAPI,XML Field,,FALSE
187,PasswordStatus,ISAPI,XML Field,,FALSE
188,id,ISAPI,XML Field,,FALSE
