No,Fields Name,Path,Type,Deskripsi,Status
105,streamType,ISAPI,XML Field,Technical parameter,FALSE
106,online,ISAPI,XML Field,Technical parameter,FALSE
107,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
108,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
109,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
110,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
111,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
112,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
113,id,ISAPI,XML Field,Technical parameter,FALSE
114,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
115,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
116,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
117,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
118,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
119,userName,ISAPI,XML Field,Technical parameter,FALSE
120,streamType,ISAPI,XML Field,Technical parameter,FALSE
121,online,ISAPI,XML Field,Technical parameter,FALSE
122,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
123,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
124,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
125,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
126,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
127,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
128,id,ISAPI,XML Field,Technical parameter,FALSE
129,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
130,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
131,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
132,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
133,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
134,userName,ISAPI,XML Field,Technical parameter,FALSE
135,streamType,ISAPI,XML Field,Technical parameter,FALSE
136,online,ISAPI,XML Field,Technical parameter,FALSE
137,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
138,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
139,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
